WGU Course,WGU Course Name,External Course,Provider,Transfer Status
C217,Human Growth and Development Across the Lifespan,DLSI-0012 Developmental Psychology,DLSI,No
C217,Human Growth and Development Across the Lifespan,PSY120 (OOSL-0107),Straighterline,No
C217,Human Growth and Development Across the Lifespan,PSYC1320,Concorde,No
C217,Human Growth and Development Across the Lifespan,Psychology 103 (SDCM-0019),Study,No
C217,Human Growth and Development Across the Lifespan,Psychology 107 (SDCM-0044),Study,No
C232,Introduction to Human Resource Management,Human Resource Management,Retail Mgt Cert,No
C232,Introduction to Human Resource Management,Business 106 (SDCM-0026),Study,No
C232,Introduction to Human Resource Management,Business 306 (SDCM-0071),Study,No
C232,Introduction to Human Resource Management,Health 310 (SDCM-0169),Study,No
C233,Employment Law,Business 314 (SDCM-0085),Study,No
C237,Taxation I,H and R Certificate,H&R Block,No
C255,Introduction to Geography,ANTH101 (OOSL-0046),Straighterline,No
C255,Introduction to Geography,CIV101 (OOSL-0040),Straighterline,No
C255,Introduction to Geography,CIV102 (OOSL-0043),Straighterline,No
C255,Introduction to Geography,CIV103 (OOSL-0092),Straighterline,No
C255,Introduction to Geography,CJ101 (OOSL-0004),Straighterline,No
C255,Introduction to Geography,Criminal Justice 101 (SDCM-0067),Study,No
C255,Introduction to Geography,DLSI-0008 History of U.S. I: Early Colonization To 1877,DLSI,No
C255,Introduction to Geography,DLSI-0010 Introduction to Psychology,DLSI,No
C255,Introduction to Geography,DLSI-0012 Developmental Psychology,DLSI,No
C255,Introduction to Geography,DLSI-0015 Introduction to Sociology,DLSI,No
C255,Introduction to Geography,DLSI-0021 Introduction to Macroeconomics,DLSI,No
C255,Introduction to Geography,DLSI-0023 Introduction to Anthropology,DLSI,No
C255,Introduction to Geography,DLSI-0025 Introduction to Microeconomics,DLSI,No
C255,Introduction to Geography,DLSI-0033 Western Civilization I: Ancient Near East Through 1648,DLSI,No
C255,Introduction to Geography,ECON1001 (SOPH-0012),Sophia,No
C255,Introduction to Geography,ECON1002 (SOPH-0011),Sophia,No
C255,Introduction to Geography,ECON101 (OOSL-0007),Straighterline,No
C255,Introduction to Geography,ECON101 (SAYA-0005),Saylor,No
C255,Introduction to Geography,ECON102 (OOSL-0008),Straighterline,No
C255,Introduction to Geography,ECON102 (SAYA-0006),Saylor,No
C255,Introduction to Geography,Economics 101 (SDCM-0069),Study,No
C255,Introduction to Geography,Economics 102 (SDCM-0060),Study,No
C255,Introduction to Geography,GEOG101 (SAYA-0044),Saylor,No
C255,Introduction to Geography,Geography 101 (SDCM-0037),Study,No
C255,Introduction to Geography,HIST1001 (SOPH-0022),Sophia,No
C255,Introduction to Geography,HIST1002 (SOPH-0025),Sophia,No
C255,Introduction to Geography,HIST1010 (SOPH-0042),Sophia,No
C255,Introduction to Geography,History 100 (SDCM-0154),Study,No
C255,Introduction to Geography,History 101 (SDCM-0011),Study,No
C255,Introduction to Geography,History 102 (SDCM-0038),Study,No
C255,Introduction to Geography,History 105 (SDCM-0155),Study,No
C255,Introduction to Geography,History 106 (SDCM-0040),Study,No
